,State_FIPS_Code,County_FIPS_Code,Diabetes,FluB_Ind,Syphilis_Ind,HepA_Rpt,HepA_Ind,HepA_Exp,HepB_Rpt,HepB_Ind,HepB_Exp,Meas_Ind,Pert_Ind,Pert_Exp,CRS_Ind
215,8,51,1.1,3.0,3.0,17.0,4.0,13.0,3.0,4.0,4.0,3.0,3.0,7.0,3.0
216,8,59,4.1,3.0,3.0,18.0,3.0,64.0,20.0,3.0,32.0,3.0,4.0,48.0,3.0
217,8,63,1.5,3.0,3.0,4.0,4.0,4.0,1.0,3.0,1.0,3.0,3.0,1.0,3.0
218,8,65,1.9,3.0,3.0,6.0,4.0,3.0,2.0,3.0,1.0,3.0,3.0,2.0,3.0
219,8,67,1.4,4.0,3.0,14.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0,7.0,3.0
220,8,69,3.5,3.0,3.0,12.0,3.0,16.0,7.0,3.0,8.0,3.0,4.0,32.0,3.0
221,8,71,11.0,3.0,4.0,14.0,4.0,12.0,2.0,4.0,6.0,3.0,4.0,10.0,3.0
222,8,75,6.2,4.0,3.0,10.0,4.0,6.0,6.0,4.0,2.0,3.0,4.0,4.0,3.0
223,8,77,3.9,3.0,3.0,3.0,3.0,18.0,4.0,3.0,7.0,3.0,4.0,22.0,3.0
224,8,81,7.6,3.0,3.0,5.0,3.0,13.0,1.0,3.0,4.0,3.0,3.0,6.0,3.0
225,8,83,5.7,4.0,3.0,48.0,4.0,16.0,4.0,3.0,5.0,3.0,4.0,7.0,3.0
226,8,85,4.2,3.0,3.0,3.0,4.0,3.0,2.0,4.0,2.0,3.0,3.0,7.0,3.0
227,8,87,4.2,4.0,3.0,1.5,3.0,4.0,2.0,3.0,3.0,3.0,3.0,1.0,3.0
228,8,89,1.6,3.0,3.0,13.0,4.0,14.0,1.0,3.0,6.0,3.0,3.0,12.0,3.0
