,State_FIPS_Code,County_FIPS_Code,Diabetes,CHSI_County_Name,CHSI_State_Name,CHSI_State_Abbr,Strata_ID_Number,No_HS_Diploma,Unemployed,Sev_Work_Disabled,Major_Depression,Recent_Drug_Use,Ecol_Rpt_Ind,Salm_Rpt,Salm_Rpt_Ind,Salm_Exp,Shig_Rpt_Ind,Shig_Exp,Carbon_Monoxide_Ind,Nitrogen_Dioxide_Ind,Sulfur_Dioxide_Ind,Ozone_Ind,Particulate_Matter_Ind,Lead_Ind,EH_Time_Span
87,5,17,15.6,Chicot,Arkansas,AR,67,3042.0,482.0,403.0,824,737,0,19.0,0,23.0,1,9.0,0,0,0,0,0,0,1994-2003
88,5,19,6.3,Clark,Arkansas,AR,71,3384.0,631.0,687.0,1490,1575,0,71.0,1,35.0,1,12.0,0,0,0,0,0,0,1994-2003
89,5,21,10.2,Clay,Arkansas,AR,63,4573.0,570.0,620.0,1088,893,0,64.0,1,23.0,0,5.0,0,0,0,0,0,0,1994-2003
90,5,23,8.6,Cleburne,Arkansas,AR,64,4623.0,515.0,781.0,1719,1387,0,72.0,1,35.0,0,9.0,0,0,0,0,0,0,1994-2003
91,5,25,11.3,Cleveland,Arkansas,AR,41,1610.0,236.0,278.0,572,497,1,9.0,0,16.0,0,8.0,0,0,0,0,0,0,1994-2003
92,5,27,9.2,Columbia,Arkansas,AR,35,4087.0,670.0,764.0,1583,1501,0,29.0,1,20.0,0,15.0,0,0,0,0,0,0,1999-2003
93,5,29,4.9,Conway,Arkansas,AR,43,3729.0,470.0,745.0,1328,1148,0,49.0,1,28.0,0,12.0,0,0,0,0,0,0,1994-2003
94,5,31,6.2,Craighead,Arkansas,AR,22,12563.0,2021.0,2813.0,5507,5147,0,204.0,1,71.0,1,25.0,0,0,0,0,0,0,1999-2003
95,5,33,5.8,Crawford,Arkansas,AR,33,10684.0,1095.0,1988.0,3596,3209,1,61.0,1,46.0,0,19.0,0,0,0,0,0,0,1999-2003
96,5,35,11.5,Crittenden,Arkansas,AR,53,9689.0,1421.0,1609.0,3063,2882,0,61.0,1,56.0,1,20.0,0,0,0,1,0,0,1999-2003
97,5,37,9.6,Cross,Arkansas,AR,68,3975.0,625.0,627.0,1205,1080,0,76.0,1,33.0,1,12.0,0,0,0,0,0,0,1994-2003
98,5,39,14.7,Dallas,Arkansas,AR,74,1883.0,268.0,373.0,545,481,0,10.0,0,15.0,0,15.0,0,0,0,0,0,0,1994-2003
99,5,41,10.3,Desha,Arkansas,AR,67,3236.0,519.0,448.0,884,781,0,20.0,0,25.0,1,9.0,0,0,0,0,0,0,1994-2003
100,5,43,4.5,Drew,Arkansas,AR,67,3160.0,698.0,611.0,1192,1157,0,24.0,0,30.0,0,11.0,0,0,0,0,0,0,1994-2003
101,5,45,4.8,Faulkner,Arkansas,AR,19,9862.0,2095.0,2010.0,6103,6187,0,282.0,1,66.0,1,18.0,0,0,0,0,0,0,1999-2003
102,5,47,4.7,Franklin,Arkansas,AR,43,3543.0,352.0,646.0,1175,1025,1,35.0,1,24.0,1,10.0,0,0,0,0,0,0,1994-2003
103,5,49,6.8,Fulton,Arkansas,AR,70,2394.0,249.0,457.0,801,641,0,14.0,1,15.0,1,6.0,0,0,0,0,0,0,1994-2003
104,5,51,8.0,Garland,Arkansas,AR,24,14398.0,2153.0,2327.0,6223,5049,0,153.0,1,62.0,1,31.0,0,0,0,0,0,0,1999-2003
105,5,53,4.0,Grant,Arkansas,AR,39,2709.0,393.0,539.0,1131,977,0,49.0,1,23.0,0,10.0,0,0,0,0,0,0,1994-2003
106,5,55,9.9,Greene,Arkansas,AR,50,7353.0,1027.0,1411.0,2512,2175,0,76.0,1,30.0,1,9.0,0,0,0,0,0,0,1999-2003
107,5,57,10.3,Hempstead,Arkansas,AR,76,4646.0,605.0,700.0,1461,1313,0,50.0,1,42.0,1,19.0,0,0,0,0,0,0,1994-2003
108,5,59,9.3,Hot Spring,Arkansas,AR,49,5696.0,754.0,1131.0,2022,1727,0,58.0,1,20.0,1,6.0,0,0,0,0,0,0,1999-2003
109,5,61,12.7,Howard,Arkansas,AR,43,2803.0,331.0,461.0,913,802,0,34.0,1,20.0,0,9.0,0,0,0,0,0,0,1994-2003
110,5,63,7.2,Independence,Arkansas,AR,32,5702.0,1037.0,1191.0,2245,1954,0,95.0,1,24.0,0,7.0,0,0,0,0,0,0,1999-2003
111,5,65,13.5,Izard,Arkansas,AR,71,2582.0,311.0,483.0,906,733,1,18.0,1,20.0,0,7.0,0,0,0,0,0,0,1994-2003
112,5,67,8.1,Jackson,Arkansas,AR,72,3929.0,616.0,640.0,1154,1064,1,103.0,1,27.0,1,7.0,0,0,0,0,0,0,1994-2003
113,5,69,9.8,Jefferson,Arkansas,AR,8,13214.0,2714.0,2476.0,5117,4676,0,118.0,1,84.0,1,42.0,0,0,0,0,0,0,1999-2003
114,5,71,8.6,Johnson,Arkansas,AR,64,5110.0,504.0,891.0,1521,1346,0,45.0,1,33.0,1,9.0,0,0,0,0,0,0,1994-2003
115,5,73,10.2,Lafayette,Arkansas,AR,75,1903.0,231.0,322.0,520,443,1,9.0,0,15.0,0,5.0,0,0,0,0,0,0,1994-2003
116,5,75,5.9,Lawrence,Arkansas,AR,72,4230.0,537.0,751.0,1112,970,0,78.0,1,27.0,1,7.0,0,0,0,0,0,0,1994-2003
117,5,77,9.3,Lee,Arkansas,AR,67,3278.0,359.0,316.0,743,690,0,37.0,1,20.0,1,7.0,0,0,0,0,0,0,1994-2003
118,5,79,9.3,Lincoln,Arkansas,AR,44,3369.0,387.0,479.0,957,872,1,50.0,1,17.0,1,7.0,0,0,0,0,0,0,1994-2003
