,State_FIPS_Code,County_FIPS_Code,CHSI_County_Name,CHSI_State_Name,CHSI_State_Abbr,Strata_ID_Number,No_Exercise,CI_Min_No_Exercise,CI_Max_No_Exercise,Few_Fruit_Veg,CI_Min_Fruit_Veg,CI_Max_Fruit_Veg,Obesity,CI_Min_Obesity,CI_Max_Obesity,High_Blood_Pres,CI_Min_High_Blood_Pres,CI_Max_High_Blood_Pres,Smoker,CI_Min_Smoker,CI_Max_Smoker,Diabetes,CI_Min_Diabetes,CI_Max_Diabetes,Uninsured,Elderly_Medicare,Disabled_Medicare,Prim_Care_Phys_Rate,Dentist_Rate,Community_Health_Center_Ind,HPSA_Ind
2782,49,15,Emery,Utah,UT,80,21.5,17.1,25.9,81.6,76.2,87.1,23.6,18.8,28.5,21.7,15.1,28.3,19.6,15.1,24.1,5.2,3.0,7.5,1697.0,1131.0,222.0,106.6,9.3,1.0,1.0
2783,49,17,Garfield,Utah,UT,83,26.1,16.299999999999997,35.9,77.0,67.7,86.30000000000001,16.8,7.0,26.6,21.7,12.350000000000001,31.15,17.85,9.5,26.2,4.8,0.7,8.9,956.0,712.0,67.0,22.4,44.7,1.0,2.0
2784,49,19,Grand,Utah,UT,83,19.9,14.6,25.2,72.3,64.5,80.0,17.6,12.0,23.2,23.9,15.8,31.9,22.9,17.2,28.6,7.1,4.0,10.2,1687.0,1046.0,165.0,125.8,45.8,2.0,2.0
2785,49,21,Iron,Utah,UT,33,18.3,14.0,22.6,79.8,73.9,85.7,17.8,13.4,22.3,27.9,20.1,35.8,15.3,11.1,19.5,5.8,3.3,8.3,6802.0,3391.0,556.0,36.5,44.4,1.0,2.0
2786,49,23,Juab,Utah,UT,78,22.6,16.0,29.1,88.3,82.3,94.2,24.8,17.5,32.0,19.85,11.3,28.45,17.5,11.4,23.7,5.4,2.1,8.6,1220.0,828.0,139.0,54.9,21.9,2.0,2.0
2787,49,25,Kane,Utah,UT,83,14.2,6.2,22.2,79.25,71.94999999999999,86.55,23.1,16.05,30.2,21.85,12.3,31.45,18.8,9.0,28.6,5.1,0.2,10.0,1127.0,1066.0,112.0,64.5,16.1,2.0,2.0
2788,49,27,Millard,Utah,UT,80,26.5,20.8,32.2,84.7,79.0,90.5,22.9,17.6,28.2,27.1,18.8,35.4,12.3,8.1,16.4,6.0,3.4,8.5,2387.0,1436.0,168.0,73.3,65.1,2.0,1.0
2789,49,29,Morgan,Utah,UT,38,11.4,4.0,18.7,78.8,70.69999999999999,86.85,21.4,14.7,28.2,22.05,13.149999999999999,31.0,10.2,1.4,19.0,3.3,2.5,7.3,643.0,717.0,47.0,63.2,12.6,2.0,1.0
2790,49,31,Piute,Utah,UT,85,20.2,13.649999999999999,26.75,84.6,76.0,93.25,23.4,16.15,30.75,23.5,13.95,33.1,18.25,11.75,24.75,6.0,2.75,9.2,341.0,272.0,32.0,87.7,43.95,2.0,1.0
2791,49,33,Rich,Utah,UT,80,20.2,13.649999999999999,26.75,84.6,76.0,93.25,21.7,13.4,30.049999999999997,23.5,13.95,33.1,23.9,15.45,32.35,4.949999999999999,1.15,8.8,319.0,262.0,20.0,87.7,49.6,1.0,1.0
