,State_FIPS_Code,County_FIPS_Code,Diabetes,CHSI_County_Name,CHSI_State_Name,CHSI_State_Abbr,Strata_ID_Number,RHI_LBW_Ind,RHI_VLBW_Ind,RHI_Premature_Ind,RHI_Under_18_Ind,RHI_Over_40_Ind,RHI_Unmarried_Ind,RHI_Late_Care_Ind,RHI_Infant_Mortality_Ind,RHI_IM_Wh_Non_Hisp_Ind,RHI_IM_Bl_Non_Hisp_Ind,RHI_IM_Hisp_Ind,RHI_IM_Neonatal_Ind,RHI_IM_Postneonatal_Ind,RHI_Brst_Cancer_Ind,RHI_Col_Cancer_Ind,RHI_CHD_Ind,RHI_Homicide_Ind,RHI_Lung_Cancer_Ind,RHI_MVA_Ind,RHI_Stroke_Ind,RHI_Suicide_Ind,RHI_Injury_Ind
103,5,49,6.8,Fulton,Arkansas,AR,70,7,5,8,8,5,5,8,8,8,-1,-1,8,8,5,5,6,8,8,8,6,6,5
104,5,51,8.0,Garland,Arkansas,AR,24,8,7,5,8,5,8,8,6,6,5,-1,5,8,5,5,5,8,8,8,8,8,7
105,5,53,4.0,Grant,Arkansas,AR,39,8,8,8,6,5,5,7,8,8,-1,-1,8,8,8,5,8,-1,8,8,8,8,7
106,5,55,9.9,Greene,Arkansas,AR,50,5,8,6,8,7,5,8,8,8,-1,-1,8,8,5,5,8,-1,8,8,8,8,5
107,5,57,10.3,Hempstead,Arkansas,AR,76,6,6,6,6,7,6,8,6,8,5,8,6,6,8,6,8,8,8,6,8,8,5
108,5,59,9.3,Hot Spring,Arkansas,AR,49,7,5,5,8,5,7,8,5,6,-1,-1,5,5,5,8,6,8,8,8,8,6,7
109,5,61,12.7,Howard,Arkansas,AR,43,7,5,8,8,5,7,6,5,5,-1,-1,5,5,8,5,8,-1,8,8,8,6,5
110,5,63,7.2,Independence,Arkansas,AR,32,8,8,8,6,5,5,8,8,8,-1,-1,8,6,5,8,6,-1,8,6,6,8,7
111,5,65,13.5,Izard,Arkansas,AR,71,5,5,5,6,5,5,8,8,8,-1,-1,5,8,8,6,6,-1,8,8,8,6,5
112,5,67,8.1,Jackson,Arkansas,AR,72,8,8,8,8,5,8,5,8,6,8,-1,8,8,5,6,8,8,6,6,8,6,5
113,5,69,9.8,Jefferson,Arkansas,AR,8,8,8,8,8,5,8,8,8,8,5,-1,6,8,8,8,8,8,6,6,8,5,5
114,5,71,8.6,Johnson,Arkansas,AR,64,5,5,5,8,5,7,8,5,8,-1,-1,5,8,5,5,6,-1,8,6,6,8,7
115,5,73,10.2,Lafayette,Arkansas,AR,75,8,8,8,8,5,8,8,8,-1,8,-1,8,5,8,8,8,8,8,6,5,8,5
116,5,75,5.9,Lawrence,Arkansas,AR,72,5,5,5,6,5,5,8,8,8,-1,-1,5,8,5,6,6,-1,8,8,6,8,5
117,5,77,9.3,Lee,Arkansas,AR,67,6,8,8,8,7,8,8,8,8,8,-1,8,8,8,8,8,8,8,6,6,6,7
118,5,79,9.3,Lincoln,Arkansas,AR,44,8,8,8,8,5,8,8,8,8,7,-1,8,5,5,5,8,8,6,6,6,5,5
119,5,81,6.7,Little River,Arkansas,AR,42,8,8,8,6,5,6,6,6,8,-1,-1,6,8,5,8,8,-1,8,6,8,8,5
120,5,83,8.1,Logan,Arkansas,AR,76,5,5,5,6,7,5,8,5,5,-1,-1,5,5,8,8,8,5,8,6,6,8,5
121,5,85,6.3,Lonoke,Arkansas,AR,29,7,7,8,6,5,5,5,8,8,-1,-1,5,8,5,8,5,-1,8,8,8,8,5
122,5,87,4.0,Madison,Arkansas,AR,43,7,7,5,8,7,5,8,8,8,-1,-1,8,8,5,6,5,-1,6,6,6,8,7
123,5,89,8.3,Marion,Arkansas,AR,71,6,5,5,6,7,5,8,6,8,-1,-1,8,5,8,6,5,-1,8,6,6,8,5
124,5,91,9.7,Miller,Arkansas,AR,52,6,8,8,6,5,6,8,6,8,7,-1,8,6,5,8,5,6,8,6,6,8,5
125,5,93,7.0,Mississippi,Arkansas,AR,8,8,8,8,8,5,8,8,8,8,5,-1,8,8,6,8,8,8,8,8,8,8,7
126,5,95,8.3,Monroe,Arkansas,AR,75,8,8,8,8,7,8,8,8,5,8,-1,8,8,8,8,8,-1,8,8,8,8,5
127,5,97,11.5,Montgomery,Arkansas,AR,70,5,5,5,6,5,5,8,5,6,-1,-1,5,6,5,5,6,-1,6,6,8,8,7
128,5,99,1.9,Nevada,Arkansas,AR,75,8,8,6,6,5,6,8,8,8,5,-1,8,5,6,6,6,-1,8,8,8,5,5
129,5,101,5.8,Newton,Arkansas,AR,74,5,5,5,6,7,5,6,5,5,-1,-1,5,6,5,5,6,-1,8,6,6,8,5
130,5,103,6.6,Ouachita,Arkansas,AR,36,8,8,8,8,5,8,8,8,8,5,-1,8,8,5,6,6,8,8,8,8,5,5
131,5,105,12.3,Perry,Arkansas,AR,62,5,5,5,8,5,5,6,8,8,-1,-1,7,8,8,8,6,-1,8,8,8,8,7
132,5,107,8.8,Phillips,Arkansas,AR,51,8,8,6,8,5,8,8,8,8,7,-1,5,8,8,8,8,8,8,8,8,-1,7
133,5,109,2.9,Pike,Arkansas,AR,62,7,8,7,8,5,5,8,8,8,-1,-1,8,8,6,5,5,-1,8,8,8,-1,5
134,5,111,12.4,Poinsett,Arkansas,AR,76,6,6,6,6,5,6,8,8,8,-1,-1,8,8,5,8,8,6,8,6,8,8,7
135,5,113,7.9,Polk,Arkansas,AR,71,5,5,6,8,5,5,8,8,8,-1,-1,6,8,8,8,8,-1,8,8,5,8,5
136,5,115,6.5,Pope,Arkansas,AR,23,5,5,5,6,5,5,5,5,5,-1,-1,5,8,8,6,6,-1,8,6,8,5,7
137,5,117,7.2,Prairie,Arkansas,AR,61,8,8,8,8,5,8,8,8,8,-1,-1,8,8,5,8,5,-1,8,6,8,8,5
138,5,119,6.7,Pulaski,Arkansas,AR,5,8,8,6,6,5,6,5,8,8,8,5,8,8,5,6,5,8,8,8,8,8,5
139,5,121,6.5,Randolph,Arkansas,AR,72,5,5,5,6,5,5,6,8,8,-1,-1,8,8,5,8,6,6,6,6,6,8,5
140,5,123,11.8,St. Francis,Arkansas,AR,52,8,8,8,8,5,8,8,8,8,7,-1,8,6,8,8,8,8,6,6,8,8,5
141,5,125,7.5,Saline,Arkansas,AR,45,8,7,8,7,5,5,7,8,8,-1,-1,7,8,5,5,5,7,8,8,8,8,5
142,5,127,10.2,Scott,Arkansas,AR,70,8,8,8,6,5,5,8,8,8,-1,-1,5,8,5,6,8,-1,8,6,5,8,5
143,5,129,12.4,Searcy,Arkansas,AR,70,8,8,5,6,7,5,8,8,8,-1,-1,8,5,8,5,8,-1,8,8,6,8,5
144,5,131,7.1,Sebastian,Arkansas,AR,6,5,5,5,8,5,6,8,8,8,8,8,5,8,5,8,8,8,6,5,6,8,5
145,5,133,8.2,Sevier,Arkansas,AR,76,6,5,5,6,7,5,6,6,8,-1,8,5,8,5,6,8,8,8,8,6,8,5
146,5,135,6.7,Sharp,Arkansas,AR,72,5,5,8,8,7,5,8,8,8,-1,-1,5,8,8,5,6,-1,6,8,6,8,5
147,5,137,9.0,Stone,Arkansas,AR,70,5,5,7,6,5,5,8,5,5,-1,-1,8,5,8,8,6,8,6,8,6,6,5
148,5,139,9.1,Union,Arkansas,AR,36,8,8,8,6,5,6,8,6,5,5,-1,6,6,8,6,5,8,8,6,8,6,5
149,5,141,8.2,Van Buren,Arkansas,AR,71,8,8,5,6,7,5,8,8,8,-1,-1,8,6,8,6,5,-1,8,8,8,8,5
150,5,143,5.5,Washington,Arkansas,AR,14,5,5,5,6,5,5,5,5,5,-1,5,5,5,5,8,5,-1,8,8,8,8,5
151,5,145,8.7,White,Arkansas,AR,22,8,8,8,6,5,5,8,8,8,-1,-1,5,8,5,8,8,7,8,8,8,8,5
152,5,149,8.9,Yell,Arkansas,AR,62,7,8,5,8,5,7,8,5,5,-1,8,5,8,5,8,8,8,8,8,8,6,5
153,6,1,5.3,Alameda,California,CA,1,5,5,5,5,8,5,5,5,5,5,5,5,5,5,5,5,8,5,5,8,5,5
154,6,5,5.4,Amador,California,CA,26,5,5,5,7,8,5,7,5,5,-1,-1,5,5,5,8,6,-1,8,8,8,8,5
155,6,7,4.3,Butte,California,CA,6,5,5,5,6,7,6,8,5,6,-1,6,5,5,5,6,6,5,6,6,8,8,7
156,6,9,1.3,Calaveras,California,CA,30,5,5,5,5,8,5,8,5,5,-1,-1,5,5,5,5,5,-1,6,8,6,8,5
157,6,13,5.4,Contra Costa,California,CA,2,5,5,5,7,8,7,5,5,5,5,5,5,7,8,5,7,8,5,7,8,7,5
158,6,17,4.8,El Dorado,California,CA,12,5,5,5,5,8,5,7,5,5,-1,7,5,5,7,5,5,-1,5,5,5,8,7
159,6,19,7.4,Fresno,California,CA,3,5,5,5,8,5,8,5,5,8,5,8,5,5,5,5,8,6,5,8,8,5,5
160,6,23,8.5,Humboldt,California,CA,6,5,5,5,5,8,8,8,6,8,-1,5,5,8,8,6,5,8,6,8,6,8,8
161,6,25,13.0,Imperial,California,CA,7,5,5,5,8,7,6,8,5,5,-1,5,5,5,5,5,5,5,5,6,6,5,5
162,6,29,9.0,Kern,California,CA,3,5,5,5,8,5,8,6,5,8,5,5,5,6,6,8,8,6,6,8,8,8,5
163,6,31,4.6,Kings,California,CA,7,5,5,5,6,7,6,8,5,5,8,8,5,6,5,5,6,5,5,8,6,5,5
164,6,33,6.2,Lake,California,CA,24,5,5,5,8,7,8,8,5,5,-1,8,5,8,5,5,8,5,8,8,8,8,7
165,6,37,6.7,Los Angeles,California,CA,1,5,5,5,8,8,8,5,5,5,5,5,5,5,5,5,8,8,5,5,8,5,5
166,6,39,10.4,Madera,California,CA,7,5,5,5,6,7,6,6,5,8,-1,5,5,5,5,5,8,6,5,8,6,8,7
167,6,41,2.8,Marin,California,CA,11,5,5,5,5,8,5,5,5,5,-1,5,5,5,8,5,5,5,5,5,6,8,5
168,6,45,10.7,Mendocino,California,CA,23,5,5,5,6,8,8,8,5,5,-1,8,5,6,6,6,5,8,5,6,6,8,7
